Size: 4	Mflop/s:  2367.89	Percentage:  6.43
Size: 31	Mflop/s:  16157.1	Percentage: 43.91
Size: 32	Mflop/s:  23060.8	Percentage: 62.67
Size: 96	Mflop/s:  29338.9	Percentage: 79.73
Size: 97	Mflop/s:  26447.6	Percentage: 71.87
Size: 127	Mflop/s:  23436.3	Percentage: 63.69
Size: 128	Mflop/s:  28774.5	Percentage: 78.19
Size: 129	Mflop/s:  26568.7	Percentage: 72.20
Size: 191	Mflop/s:  27441.2	Percentage: 74.57
Size: 192	Mflop/s:    30845	Percentage: 83.82
Size: 229	Mflop/s:  29692.6	Percentage: 80.69
Size: 255	Mflop/s:  28099.6	Percentage: 76.36
Size: 256	Mflop/s:  30561.4	Percentage: 83.05
Size: 257	Mflop/s:  29321.8	Percentage: 79.68
Size: 319	Mflop/s:  28990.3	Percentage: 78.78
Size: 320	Mflop/s:  31443.4	Percentage: 85.44
Size: 321	Mflop/s:  29939.6	Percentage: 81.36
Size: 417	Mflop/s:  31552.4	Percentage: 85.74
Size: 479	Mflop/s:    31407	Percentage: 85.35
Size: 480	Mflop/s:  33320.5	Percentage: 90.54
Size: 511	Mflop/s:  30247.5	Percentage: 82.19
Size: 512	Mflop/s:  31972.1	Percentage: 86.88
Size: 639	Mflop/s:  31586.7	Percentage: 85.83
Size: 640	Mflop/s:  32765.3	Percentage: 89.04
Size: 767	Mflop/s:  31652.9	Percentage: 86.01
Size: 768	Mflop/s:  32939.3	Percentage: 89.51
Size: 769	Mflop/s:  31884.5	Percentage: 86.64
