Size: 4	Mflop/s:  592.033	Percentage:  1.61
Size: 31	Mflop/s:  5765.62	Percentage: 15.67
Size: 32	Mflop/s:  8187.43	Percentage: 22.25
Size: 96	Mflop/s:    14880	Percentage: 40.43
Size: 97	Mflop/s:  14058.8	Percentage: 38.20
Size: 127	Mflop/s:  14513.5	Percentage: 39.44
Size: 128	Mflop/s:  16425.5	Percentage: 44.63
Size: 129	Mflop/s:    15114	Percentage: 41.07
Size: 191	Mflop/s:  16027.3	Percentage: 43.55
Size: 192	Mflop/s:  17746.6	Percentage: 48.22
Size: 229	Mflop/s:  17708.7	Percentage: 48.12
Size: 255	Mflop/s:  17141.6	Percentage: 46.58
Size: 256	Mflop/s:  18287.5	Percentage: 49.69
Size: 257	Mflop/s:  17374.5	Percentage: 47.21
Size: 319	Mflop/s:  17917.6	Percentage: 48.69
Size: 320	Mflop/s:  19209.6	Percentage: 52.20
Size: 321	Mflop/s:  18788.4	Percentage: 51.06
Size: 417	Mflop/s:  19401.8	Percentage: 52.72
Size: 479	Mflop/s:  19436.2	Percentage: 52.82
Size: 480	Mflop/s:  20443.8	Percentage: 55.55
Size: 511	Mflop/s:    17631	Percentage: 47.91
Size: 512	Mflop/s:  17866.4	Percentage: 48.55
Size: 639	Mflop/s:  19976.7	Percentage: 54.28
Size: 640	Mflop/s:  20643.5	Percentage: 56.10
Size: 767	Mflop/s:  20131.5	Percentage: 54.71
Size: 768	Mflop/s:  20177.8	Percentage: 54.83
Size: 769	Mflop/s:  20151.9	Percentage: 54.76
