Size: 4	Mflop/s:  1071.05	Percentage:  2.91
Size: 31	Mflop/s:  6206.96	Percentage: 16.87
Size: 32	Mflop/s:  10743.8	Percentage: 29.20
Size: 96	Mflop/s:  19542.1	Percentage: 53.10
Size: 97	Mflop/s:  16557.5	Percentage: 44.99
Size: 127	Mflop/s:  15336.6	Percentage: 41.68
Size: 128	Mflop/s:  21601.2	Percentage: 58.70
Size: 129	Mflop/s:  18426.7	Percentage: 50.07
Size: 191	Mflop/s:  18403.5	Percentage: 50.01
Size: 192	Mflop/s:  23797.4	Percentage: 64.67
Size: 229	Mflop/s:    22668	Percentage: 61.60
Size: 255	Mflop/s:  20350.8	Percentage: 55.30
Size: 256	Mflop/s:  24721.5	Percentage: 67.18
Size: 257	Mflop/s:  22586.7	Percentage: 61.38
Size: 319	Mflop/s:    21735	Percentage: 59.06
Size: 320	Mflop/s:  26065.2	Percentage: 70.83
Size: 321	Mflop/s:  24566.5	Percentage: 66.76
Size: 417	Mflop/s:  24786.3	Percentage: 67.35
Size: 479	Mflop/s:  21362.4	Percentage: 58.05
Size: 480	Mflop/s:  24626.8	Percentage: 66.92
Size: 511	Mflop/s:  21286.7	Percentage: 57.84
Size: 512	Mflop/s:  22977.9	Percentage: 62.44
Size: 639	Mflop/s:  21112.6	Percentage: 57.37
Size: 640	Mflop/s:    23131	Percentage: 62.86
Size: 767	Mflop/s:  23805.6	Percentage: 64.69
Size: 768	Mflop/s:    25620	Percentage: 69.62
Size: 769	Mflop/s:  24815.7	Percentage: 67.43
